Index;Text;Cause;Effect
0026.00005;Communications Systems has a dividend payout ratio of -10.1% indicating that the company cannot currently cover its dividend with earnings alone and is relying on its balance sheet to cover its dividend payments.; the company cannot currently cover its dividend with earnings alone and is relying on its balance sheet to cover its dividend payments; communications systems has a dividend payout ratio of - 10 . 1
0026.00006;Communications Systems stock traded up $0.01 during mid-day trading on Wednesday, hitting $4.90. 2,036 shares of the company's stock were exchanged, compared to its average volume of 30,043.; communications systems stock traded up $ 0 . 01 during mid - day trading on; hitting $ 4 . 90
0047.00010;In the twelve years of operation there have been several hundred individuals involved with the twelve ownership groups, with group number thirteen currently forming. As Howard points out, LandMark groups never own 100 percent of a horse.; in the twelve years of operation there have been several hundred individuals involved with the twelve ownership groups , with group number thirteen currently forming; landmark groups never own 100 percent of a horse
0049.00001;The majority of councils around the country have decided to increase property tax levels by up to 15 per cent amid rising pressure on local budgets. Out of 24 councils that have so far voted on property tax proposals, 14 have voted to increase the charge.; the majority of councils around the country have decided to increase property tax levels by up to 15 per cent amid rising pressure on local budgets;
0049.00009;In Cavan, acting chief executive of the council Eoin Doyle warned that in order to allow for more funding for communities and local projects an increase of 15 per cent was needed.; in cavan , acting chief executive of the council eoin doyle warned that in order to allow for more funding for communities and local; an increase of 15 per cent was needed
0052.00004;Photograph: Michaela Rehle/Reuters  British American Tobacco is being pursued by the Dutch authorities for £902m in unpaid taxes, as the maker of Rothmans, Camel and Lucky Strike cigarettes stands accused of avoiding tax on money channelled through the Netherlands.; the maker of rothmans , camel and lucky strike cigarettes stands accused of avoiding tax on money channelled through the netherlands; photograph : michaela rehle / reuters british american tobacco is being pursued by the dutch authorities for £902m in unpaid
0067.00016.1;Second-quarter investment banking revenues totaled $104.3 million, a 30% increase from the same period in 2018. PlacementTracker listed Cowen as the most active publicly listed placement agent, leading more than $1.1 billion in investments across 17 deals in the second quarter.; placementtracker listed cowen as the most active publicly listed placement agent , leading more than $ 1 . 1 billion in investments across 17 deals in the second quarter; second - quarter investment banking revenues totaled $ 104 . 3 million , a 30 % increase from the same period in 2018 . placementtracker listed cowen as the most active publicly listed placement agent , leading more than $ 1 . 1 billion in investments across 17 deals in the second quarter
0067.00016.2;Second-quarter investment banking revenues totaled $104.3 million, a 30% increase from the same period in 2018. PlacementTracker listed Cowen as the most active publicly listed placement agent, leading more than $1.1 billion in investments across 17 deals in the second quarter.; placementtracker listed cowen as the most active publicly listed placement agent , leading more than $ 1 . 1 billion in investments across 17 deals in the second quarter; second - quarter investment banking revenues totaled $ 104 . 3 million , a 30 % increase from the same period in 2018 . placementtracker listed cowen as the most active publicly listed placement agent , leading more than $ 1 . 1 billion in investments across 17 deals in the second quarter
0095.00055;As it reaches the tipping point of having more millionaires than any other country in the world, China now represents roughly a third of the global market for luxury goods. In 2016, 40 percent more cars were sold in China than in all of Europe, and China also accounts for 40 percent of global textiles and apparel consumption.; as it reaches the tipping point of having more millionaires than any other country in the world , china now represents roughly a third of the global market for luxury goods; china now represents roughly a third of the global market for luxury goods
0095.00088;The academic literature finds that a 1 percent reduction in trade costs can result in a 0.4 percent increase in trade flows.; the academic literature finds that a 1 percent reduction in trade; a 0 . 4 percent increase in trade flows
0096.00002;Please see ourPrivacy Noticefor details of your data protection rights  Thank you for subscribingSee our privacy notice  Could not subscribe, try again laterInvalid Email  A £4m grant has been approved to help fund Coventry's City of Culture year in 2021.; please see ourprivacy noticefor details of your data protection rights thank you for subscribingsee our privacy notice could not subscribe , try again laterinvalid email a £4m grant has been approved to help fund coventry ' s city of culture year in 2021;
0097.00007;In the last fiscal year, the UP government paid Rs 86 lakh as the ministers' tax bill.; the ministers ' tax bill; in the last fiscal year , the up government paid rs 86 la
0101.00011;A community-led catchment management scheme has resulted in the planting of more 3,500 trees around Kanyera village over the course of the past decade.; a community - led catchment management; the planting of more 3 , 500 trees around kanyera village over the course of the past decade
0105.00030;The bank targets a cost-to-income ratio of 70% by 2022 by cutting some €6 billion ($6.6 billion) in annual expenses and some revenue growth, which should be the key to reach its profitability target in the medium term.;; the bank targets a cost - to - income ratio of 70 % by 202
0108.00012;Tuesday's losses furthered a brutal sell-off in these cannabis leaders' shares, which have now fallen 51%, 48%, and 25%, respectively, over the past year.; tuesday ' s losses furthered a brutal sell - off in these cannabis leaders ' shares , which have now fallen 51 % , 48 % , and 25 % , respectively , over the past year; tuesday ' s losses furthered a brutal sell - off in these cannabis leaders ' shares , which have now fallen 51 % , 48 % , and 25 % , respectively , over the past year
0147.00007;He lived in it for a year on his own, then to help pay the bills he let out 40% as residential accommodation.; he lived in it for a year on his own , then to help pay the bills he let out 40 % as residential accommodation; he lived in it for a year on his own , then to help pay the bills he let out 40 % as residential accommodation
0170.00022;PLC (NYSE:ETN) insider Ken D. Semelsberger sold 17,000 shares of the company's stock in a transaction dated Friday, September 13th. The shares were sold at an average price of $88.69, for a total transaction of $1,507,730.00. Following the transaction, the insider now owns 69,936 shares in the company, valued at approximately $6,202,623.84.; plc ( nyse : etn ) insider ken d . semelsberger sold 17 , 000 shares of the company ' s stock in a transaction dated friday , september 13th; following the transaction , the insider now owns 69 , 936 shares in the company , valued at approximately $ 6 , 202 , 623 . 84
0171.00021;If you work in a government position and receive a pension for work not subject to Social Security taxes, your Social Security benefits received as a spouse or widow or widower are reduced by two-thirds of the amount of the pension.; if you work in a government position and receive a pension for work not subject to social security; your social security benefits received as a spouse or widow or widower are reduced by two - thirds of the amount of the pension
0196.00005;- - Sell Ratings - Hold Ratings - Buy Ratings - Strong Buy Ratings - Rating Score  - Isign Solutions - 0 - 0 - 0 - 0 - N/A  - Black Knight - 0 - 1 - 10 - 0 - 2.91  Black Knight has a consensus price target of $63.09, suggesting a potential upside of 1.86%.; black knight has a consensus price target of $ 63 .; suggesting a potential upside of 1 . 86 %
0210.00001.1;Planning Solutions Group LLC Boosts Stake in Vanguard High Dividend Yield ETF (NYSEARCA:VYM) Planning Solutions Group LLC increased its position in shares of Vanguard High Dividend Yield ETF (NYSEARCA:VYM) by 1.4% during the second quarter, according to its most recent filing with the Securities and Exchange Commission. The firm owned 88,738 shares of the company's stock after acquiring an additional 1,202 shares during the period. Vanguard High Dividend Yield ETF makes up about 4.0% of Planning Solutions Group LLC's holdings, making the stock its 5th biggest position. Planning Solutions Group LLC's holdings in Vanguard High Dividend Yield ETF were worth $7,754,000 at the end of the most recent reporting period.;; vanguard high dividend yield etf makes up about 4 . 0 % of planning solutions group llc ' s holdings , making the stock its 5th biggest position . planning solutions group llc ' s holdings in vanguard high dividend yield etf were worth $ 7 , 754 , 000 at the end of the most recent reporting period
